filename,audio_id,sha256,current_cluster,sim_centroid,sim_medoid,mean_similarity_to_confirmed,median_similarity_to_confirmed,min_similarity_to_confirmed,max_similarity_to_confirmed,p25_similarity,p75_similarity,similarity_std,support_ratio,status,old_rank,old_status,segment_support,newly_discovered,rank,rank_delta,segment_median_vs_confirmed,path,review_required
I'llneverloveagain.m4a,0f26db696e8e,0f26db696e8e0cb98243f8064176b11bfaeeea2eaf690ea5b4223f4e85967e4d,speaker_009,0.8638575077056885,0.8436834812164307,0.7623850479722023,0.7805758118629456,0.6622277498245239,0.8436834812164307,0.7222311645746231,0.7911022007465363,0.054832489750990365,0.875,CONSISTENT_HIGH,7,HIGH_CANDIDATE,0.7604166666666667,False,1,6,0.562034111469984,C:\VocalAgent\I'llneverloveagain.m4a,True
옥탑방.m4a,ec93548d279f,ec93548d279f509b476fc928b507301e8c6ab030d9084471f5c2d38419234187,speaker_009,0.7948200702667236,0.7151834964752197,0.7014570534229279,0.7010402977466583,0.616790771484375,0.827217698097229,0.6477857530117035,0.7419032007455826,0.06629546346186793,0.5,CONSISTENT_HIGH,9,HIGH_CANDIDATE,0.6666666666666666,False,2,7,0.5921016931533813,C:\VocalAgent\옥탑방.m4a,True
love again.m4a,aef8b974cfb0,aef8b974cfb0b193165eb78edb8838c14dc1b74d9b31916284e6e166e7f69b24,speaker_009,0.7591809034347534,0.6873989105224609,0.670004203915596,0.6653367877006531,0.49501311779022217,0.8317399024963379,0.6244359314441681,0.7219093441963196,0.09371301599391324,0.375,CONFLICT,8,HIGH_CANDIDATE,0.6041666666666667,False,3,5,0.5897519662976265,C:\VocalAgent\love again.m4a,True
upload.webm,ee4a74e09cc1,ee4a74e09cc1d3a84c8dd5f05069b2a31884a3f4bf5909010b4c42814462900f,speaker_004,0.5941659212112427,0.5451979637145996,0.5243725925683975,0.5245189666748047,0.4809437394142151,0.5650606751441956,0.4988483786582947,0.5499310493469238,0.03150503357872246,0.0,LOW,13,MEDIUM_CANDIDATE,0.3333333333333333,False,4,9,0.4240788482129574,C:\VocalAgent\runtime\diagnostic_sessions\c84304fcb6b843d2a1e6eb5087134291\tasks\sustain_i\attempt_1\upload.webm,False
호흡많고헤드.m4a,99023e55f0f5,99023e55f0f5940b7cde7dff7d8abbdf56da3a9903a768a392c02968d42a0ccc,speaker_006,0.6355487108230591,0.6083540916442871,0.5608943849802017,0.5635895729064941,0.4700635075569153,0.660130500793457,0.520429715514183,0.6084673404693604,0.06157465770137201,0.0,BORDERLINE,12,MEDIUM_CANDIDATE,0.17708333333333334,False,5,7,0.4401414655148983,C:\VocalAgent\호흡많고헤드.m4a,True
upload.webm,983379d1fe46,983379d1fe46018a844e384f9f0f5648d23d86003365b570f6dde8d7bf41c0ab,speaker_007,0.6028385758399963,0.5679138898849487,0.5320265032351017,0.5356302857398987,0.449677050113678,0.6046540141105652,0.49403003603219986,0.5747620463371277,0.05378582632716883,0.0,LOW,14,LOW_CANDIDATE,0.25,False,6,8,0.47094179689884186,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\sustain_i\attempt_1\upload.webm,False
기모그.m4a,d241c8e7a734,d241c8e7a7346bebe1b5802d5a43a11422aa50635f969c5c8842fb58cb7acb88,speaker_010,0.6132002472877502,0.6359106302261353,0.541171059012413,0.5295408964157104,0.42941904067993164,0.6359106302261353,0.5117076188325882,0.5901137441396713,0.06083826353764448,0.0,LOW,16,LOW_CANDIDATE,0.23958333333333331,False,7,9,0.4144970141351223,C:\VocalAgent\기모그.m4a,False
목잡이.m4a,00ae450b11f1,00ae450b11f15f53af9e4ea58c4e52d4bdde098e292c5e6530675c775de0fac1,speaker_020,0.564080536365509,0.5320228338241577,0.4978211782872677,0.4924045205116272,0.4215858280658722,0.600243330001831,0.4513339698314667,0.5384754240512848,0.05908400073767009,0.0,LOW,17,LOW_CANDIDATE,0.07291666666666666,False,8,9,0.40888212993741035,C:\VocalAgent\목잡이.m4a,False
upload.webm,2c9d61ebb9da,2c9d61ebb9da411d4a3b8592d3fc0f7696b4c40a07a88bded722bfab4c114f11,speaker_025,0.6001110672950745,0.5237178206443787,0.5296194069087505,0.5087022185325623,0.41793376207351685,0.7071725130081177,0.4702354297041893,0.5514867603778839,0.08938343810053616,0.125,LOW,11,MEDIUM_CANDIDATE,0.46875,False,9,2,0.49389082565903664,C:\VocalAgent\runtime\diagnostic_sessions\f973bce50557481fad8ba55a40bcb21c\tasks\sustain_i\attempt_1\upload.webm,False
upload.webm,f17b7f4ff446,f17b7f4ff446eac9181094b557eeffb1a3bbb7779174569b763646b06eca7e41,speaker_004,0.5926927328109741,0.5854675769805908,0.5230724103748798,0.5589592158794403,0.3902178406715393,0.6059651970863342,0.4772423133254051,0.5861888527870178,0.08187918543625018,0.0,LOW,19,CONFLICT,0.0625,False,10,9,0.4097253233194351,C:\VocalAgent\runtime\0ff873201e0f4ce8adeb1f176d39cb16\upload.webm,False
upload.webm,5662e8094f66,5662e8094f66d3fd27846cd64b216dd557acef7d5817025c677957bea94780f0,speaker_019,0.5455204844474792,0.48218053579330444,0.48144127801060677,0.48967352509498596,0.38710296154022217,0.5264567136764526,0.47220074385404587,0.5069540292024612,0.04066835284636168,0.0,LOW,15,MEDIUM_CANDIDATE,0.25,False,11,4,0.4204859621822834,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\high_note_sustain_a\attempt_1\upload.webm,False
가없너.m4a,fadd83f6eb33,fadd83f6eb3313e95ef6b2600000daf035cbc6aee4b846f479a9c5e882787d16,speaker_010,0.49452275037765503,0.5217462778091431,0.43643395230174065,0.4321143627166748,0.3727090656757355,0.5217462778091431,0.4143066704273224,0.4533326327800751,0.042285378245165726,0.0,LOW,25,LOW_CANDIDATE,0.020833333333333332,False,12,13,0.36474843695759773,C:\VocalAgent\가없너.m4a,False
upload.webm,07564b6df5b9,07564b6df5b9862814817adcb31be945298cd3e956eb859d0ae0f7f336b0506f,speaker_020,0.5053153038024902,0.4693482518196106,0.4459587261080742,0.45052528381347656,0.3701101243495941,0.5064033269882202,0.4233885779976845,0.4769137352705002,0.04195696060279927,0.0,LOW,20,LOW_CANDIDATE,0.03125,False,13,7,0.34434230625629425,C:\VocalAgent\runtime\65c2390ef2324f6088b420f8485e56e5\upload.webm,False
upload.webm,e8314e2d9fd3,e8314e2d9fd3aea07b95ae46ce1b342e1388cb465f048fa47d7954e0f3399e73,speaker_025,0.5771077871322632,0.5200582146644592,0.5093182064592838,0.5125932097434998,0.36782947182655334,0.6734825372695923,0.4824785739183426,0.5291016846895218,0.08313522809513037,0.0,LOW,10,MEDIUM_CANDIDATE,0.4583333333333333,False,14,-4,0.5393797717988491,C:\VocalAgent\runtime\diagnostic_sessions\ba62f95fa43f43688d0dcd34aa0b336c\tasks\sustain_a\attempt_1\upload.webm,False
편하게.m4a,54b972ad300a,54b972ad300a3466f05c653a20f66b2e247f2ca243cde61dc3e925c627bec230,speaker_006,0.5897753238677979,0.5827842950820923,0.5204977504909039,0.5615474581718445,0.3629773259162903,0.6076686978340149,0.45839519053697586,0.588679164648056,0.08832188595240092,0.0,BORDERLINE,21,LOW_CANDIDATE,0.17708333333333331,False,15,6,0.4178674928843975,C:\VocalAgent\편하게.m4a,True
Lyrics.mp3,15f8e161f598,15f8e161f5987f8ea83bccbe92a8ac25ac3260cfdb67bbd40483ae76e527e6a9,speaker_022,0.48944950103759766,0.4501286745071411,0.43195660784840584,0.43472816050052643,0.36086446046829224,0.5075681805610657,0.39467187225818634,0.46889033913612366,0.05053605442629082,0.0,LOW,22,LOW_CANDIDATE,0.010416666666666666,False,16,6,0.3728236183524132,C:\VocalAgent\Lyrics.mp3,False
upload.webm,6b3aa0d0ddfb,6b3aa0d0ddfb5566666c3d263cd565600414ee03187045dfa90b2079bdd141af,speaker_023,0.46059587597846985,0.42103368043899536,0.406492255628109,0.4203048050403595,0.35119903087615967,0.46351438760757446,0.3776409402489662,0.42561525851488113,0.037191451269303295,0.0,LOW,32,LOW_CANDIDATE,0.041666666666666664,False,17,15,0.441814798861742,C:\VocalAgent\runtime\diagnostic_sessions\c84304fcb6b843d2a1e6eb5087134291\tasks\siren\attempt_1\upload.webm,False
upload.webm,95b54db5ba3d,95b54db5ba3d0f7067ee955a5b3e3b160ddbd3ef8112d53a881c3a97c0539ecb,speaker_011,0.44023454189300537,0.4139517843723297,0.3885226510465145,0.397757425904274,0.34157678484916687,0.4303254783153534,0.3537139296531677,0.4176538586616516,0.03521746581802362,0.0,LOW,34,LOW_CANDIDATE,0.0,False,18,16,0.3547264337539673,C:\VocalAgent\runtime\diagnostic_sessions\e9039df1e37d44719bf930cf695ead64\tasks\dynamic_swell\attempt_1\upload.webm,False
upload.webm,40fb338380cc,40fb338380ccc7353ba5bf76ba5e135e3b8a2b6d0b4ac20b5976be85a6f948d6,speaker_007,0.4692639112472534,0.45502597093582153,0.41414210572838783,0.4314897209405899,0.3384378254413605,0.46029871702194214,0.39195769280195236,0.44451139867305756,0.04351567793126219,0.0,LOW,33,LOW_CANDIDATE,0.08333333333333333,False,19,14,0.4366683103144169,C:\VocalAgent\runtime\diagnostic_sessions\46eaac51bdab4d2fa6108ee3e736b757\tasks\dynamic_swell\attempt_1\upload.webm,False
upload.webm,d87efe3c048b,d87efe3c048b3a701e13327d22bccf4a2d3d464e5b208b9252482cb702fb032d,speaker_025,0.5313241481781006,0.46789345145225525,0.468912523239851,0.4569461792707443,0.33588841557502747,0.6348206996917725,0.42059915512800217,0.5156536400318146,0.08333877046546931,0.0,LOW,18,LOW_CANDIDATE,0.15625,False,20,-2,0.44788264483213425,C:\VocalAgent\runtime\diagnostic_sessions\f973bce50557481fad8ba55a40bcb21c\tasks\sustain_a\attempt_1\upload.webm,False
upload.webm,90147c986aae,90147c986aae93ab817b52c80a3422a2b362c9a172ff602b2d301220117951c6,speaker_005,0.4680502712726593,0.3650963306427002,0.41307104751467705,0.37880587577819824,0.31395235657691956,0.6238622665405273,0.3459523022174835,0.45935578644275665,0.09659343007320212,0.0,LOW,27,LOW_CANDIDATE,nan,False,21,6,,C:\VocalAgent\runtime\7a90a8f1a59b41c6b0f8e7c678b4a9df\upload.webm,False
upload.webm,ed401e191813,ed401e191813a304b8ea3194ffed35ed285e33b948375a727a1e30698ca8a78a,speaker_001,0.4325902760028839,0.3987233340740204,0.381776325404644,0.38113853335380554,0.31226393580436707,0.44173353910446167,0.362274207174778,0.40507979691028595,0.03872432286503057,0.0,LOW,36,LOW_CANDIDATE,nan,False,22,14,,C:\VocalAgent\runtime\diagnostic_sessions\f973bce50557481fad8ba55a40bcb21c\tasks\siren\attempt_1\upload.webm,False
upload.wav,e8b8aa373520,e8b8aa37352029f955420e5e5a5d98ba9dcf3a52913aa1630f8a89515c0b55dc,speaker_005,0.4490317106246948,0.3749370574951172,0.3962864987552166,0.3729211390018463,0.30537843704223633,0.5645581483840942,0.35326606035232544,0.4123205468058586,0.0810603626900696,0.0,LOW,28,LOW_CANDIDATE,nan,False,23,5,,C:\VocalAgent\runtime\0cd50917f9ed40d1a9e62a9f5904268f\upload.wav,False
upload.webm,c01fc220195f,c01fc220195f24668f8242f622fcaed321c4835de32592ae478c8e34c588a3ca,speaker_005,0.448026567697525,0.3740527927875519,0.39539942517876625,0.3720174580812454,0.304480642080307,0.5641863346099854,0.3524859920144081,0.41143572330474854,0.08112193355367824,0.0,LOW,29,LOW_CANDIDATE,nan,False,24,5,,C:\VocalAgent\runtime\diagnostic_sessions\9794b5ceaddf434d9fcec7115a9be1ea\tasks\sustain_a\attempt_1\upload.webm,False
upload.wav,7b8c45cdd16b,7b8c45cdd16b1f9e08bbf2d6391f364f9bdd303ac58a1f78baa457df76d4f322,speaker_005,0.4469981789588928,0.37304601073265076,0.3944918252527714,0.3711114227771759,0.3034403324127197,0.563625156879425,0.35171009600162506,0.4105334207415581,0.08117078059401636,0.0,LOW,31,LOW_CANDIDATE,nan,False,25,6,,C:\VocalAgent\runtime\0cc29f91aee74ab29f02519e3b381df5\upload.wav,False
